category_type,asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
Others,B08TJRVWV1,"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",https://m.media-amazon.com/images/I/61DwejyTGkL._AC_UL320_.jpg,https://www.amazon.com/dp/B08TJRVWV1,4.7,0,12.42,17.1,76,false,0
Others,B08Y999HBF,"Canon PG-275/CL-276 Multi Pack, Compatible to PIXMA TS3520, TS3522 and TR4720 Printers",https://m.media-amazon.com/images/I/71nLbfefi0L._AC_UL320_.jpg,https://www.amazon.com/dp/B08Y999HBF,4.6,0,29.9,0,76,false,10000
Others,B0CD7V3HBR,iPhone Charger 3Pack 10 FT Apple MFi Certified Lightning Cable Fast Charging iPhone Charger Cord Compatible with iPhone 14 13 12 11 Pro Max XR XS X 8 7 6 Plus SE iPad and More,https://m.media-amazon.com/images/I/61O6kcJNQJL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CD7V3HBR,4.5,0,7.99,23.99,76,false,0
Others,B014I8SSD0,"Amazon Basics High-Speed HDMI Cable For Television, A Male to A Male, 18 Gbps, 4K/60Hz, 6 Feet, Black",https://m.media-amazon.com/images/I/61pBvlYVPxL._AC_UL320_.jpg,https://www.amazon.com/dp/B014I8SSD0,4.7,0,9.49,0,76,true,0
Others,B0BR9BBHQF,"iPhone Fast Charger 10 FT [Apple MFi Certified] 2 Pack PD 20W USB C Charger Block with 10FT Long Type C Lightning Cable for iPhone 14 13 12 11 XS XR X 8 iPad,White",https://m.media-amazon.com/images/I/51-kjpF6RPL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BR9BBHQF,4.4,0,13.99,19.99,76,false,0
Others,B08GYKNCCP,"SanDisk 128GB Ultra microSDXC UHS-I Memory Card with Adapter - 120MB/s, C10, U1, Full HD, A1, Micro SD Card - SDSQUA4-128G-GN6MA",https://m.media-amazon.com/images/I/61jhzv9AQRL._AC_UL320_.jpg,https://www.amazon.com/dp/B08GYKNCCP,4.7,0,13.5,24.99,76,false,0
Others,B0831BF1FH,"Stylus Pen for iPad 9th&10th Generation-2X Fast Charge Active Pencil Compatible with 2018-2023 Apple iPad Pro11&12.9 inch, iPad Air 3/4/5,iPad 6-10,iPad Mini 5/6 Gen-White",https://m.media-amazon.com/images/I/41gTIFgAiQL._AC_UL320_.jpg,https://www.amazon.com/dp/B0831BF1FH,4.5,0,29.99,49.99,76,false,0
Others,B0843HV9V1,"Original HP 206X Black High-yield Toner Cartridge | Works with HP Color LaserJet Pro M255, HP Color LaserJet Pro MFP M282, M283 Series | W2110X",https://m.media-amazon.com/images/I/7191p7sYpiL._AC_UL320_.jpg,https://www.amazon.com/dp/B0843HV9V1,4.7,0,104.89,0,76,false,6000
Others,B0BTLDPTNP,"[Apple MFi Certified] iPhone Charger, 6Pack(3/3/6/6/6/10 FT) Lightning Cable Apple Charging Cable Fast Charging High Speed USB Cable Compatible iPhone 14/13/12/11 Pro Max/XS MAX/XR/XS/X/8-multicolor",https://m.media-amazon.com/images/I/713u0uCrc3L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BTLDPTNP,4.4,0,9.96,39.99,76,false,0
Others,B0B7NS71G2,"SanDisk 128GB Ultra SDXC UHS-I Memory Card - Up to 140MB/s, C10, U1, Full HD, SD Card - SDSDUNB-128G-GN6IN",https://m.media-amazon.com/images/I/81SmwjoafSL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B7NS71G2,4.7,0,13.99,18.99,76,false,0
Others,B082Z1YYRK,"USB Type-C to A Cable 5pack 6ft Braided Fast Charging 3A Quick Charger Cord, 6 Foot Compatible Samsung Galaxy S10 S9 S8 Plus, Note 10 9 8, LG V50 V40 G8 G7(Grey)",https://m.media-amazon.com/images/I/71Vj4TEfJlL._AC_UL320_.jpg,https://www.amazon.com/dp/B082Z1YYRK,4.6,0,9.99,17.97,76,false,0
Others,B005BZNE2A,"HP 951 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8600, HP OfficeJet Pro 251dw, 276dw, 8100, 8610, 8620, 8630 Series | Eligible for Instant Ink | CR314FN, Combo 3-Pack",https://m.media-amazon.com/images/I/71-dl-p46ES._AC_UL320_.jpg,https://www.amazon.com/dp/B005BZNE2A,4.7,0,0,0,76,false,8000
Others,B0BXKZ2JV6,"Apple USB C to USB C Charging Cable 6ft 60W 3Pack [Apple MFi Certified], Type C to Type C Fast Charger Cord Compatible for iPhone 15/15 Pro/15 Pro Max/15 Plus,iPad Pro, Air5, MacBook Air (White)",https://m.media-amazon.com/images/I/61OgwoMy8LL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BXKZ2JV6,4.4,0,11.99,0,76,false,0
Others,B07R5W5H4L,"HP 414A Black Toner Cartridge | Works with HP Color LaserJet Enterprise M455dn, MFP M480f; HP Color LaserJet Pro M454 Series, HP Color LaserJet Pro MFP M479 Series | W2020A",https://m.media-amazon.com/images/I/71P4F3d1AtL._AC_UL320_.jpg,https://www.amazon.com/dp/B07R5W5H4L,4.8,0,92.89,0,76,false,6000
Others,B01GGKYN0A,"Amazon Basics USB-C to USB-A 2.0 Fast Charger Cable, 480Mbps Speed, USB-IF Certified, for Apple iPhone 15, iPad, Samsung Galaxy, Tablets, Laptops, 6 Foot, Black",https://m.media-amazon.com/images/I/51SIz4uMmYL._AC_UL320_.jpg,https://www.amazon.com/dp/B01GGKYN0A,4.6,0,9.37,0,76,false,0
